pos,name,event_id,wca_id,average_seconds
3,Xuanyi Geng (耿暄一),333,2023GENG02,5.7
1,Xuanyi Geng (耿暄一),333,2023GENG02,5.35
2,Xuanyi Geng (耿暄一),333,2023GENG02,5.67
1,Xuanyi Geng (耿暄一),333,2023GENG02,5.14
1,Xuanyi Geng (耿暄一),333,2023GENG02,5.38
1,Xuanyi Geng (耿暄一),333,2023GENG02,5.48
2,Xuanyi Geng (耿暄一),333,2023GENG02,5.97
2,Xuanyi Geng (耿暄一),333,2023GENG02,5.29
2,Xuanyi Geng (耿暄一),333,2023GENG02,5.6
1,Xuanyi Geng (耿暄一),333,2023GENG02,5.35
3,Xuanyi Geng (耿暄一),333,2023GENG02,5.85
3,Xuanyi Geng (耿暄一),333,2023GENG02,5.77
3,Xuanyi Geng (耿暄一),333,2023GENG02,5.5
2,Xuanyi Geng (耿暄一),333,2023GENG02,5.43
3,Xuanyi Geng (耿暄一),333,2023GENG02,5.64
2,Xuanyi Geng (耿暄一),333,2023GENG02,5.79
2,Xuanyi Geng (耿暄一),333,2023GENG02,5.94
1,Xuanyi Geng (耿暄一),333,2023GENG02,5.17
2,Xuanyi Geng (耿暄一),333,2023GENG02,5.69
3,Xuanyi Geng (耿暄一),333,2023GENG02,5.71
1,Xuanyi Geng (耿暄一),333,2023GENG02,5.45
1,Xuanyi Geng (耿暄一),333,2023GENG02,5.99
1,Xuanyi Geng (耿暄一),333,2023GENG02,5.7
1,Xuanyi Geng (耿暄一),333,2023GENG02,5.79
1,Xuanyi Geng (耿暄一),333,2023GENG02,4.94
1,Xuanyi Geng (耿暄一),333,2023GENG02,5.37
2,Xuanyi Geng (耿暄一),333,2023GENG02,5.56
1,Xuanyi Geng (耿暄一),333,2023GENG02,5.23
1,Xuanyi Geng (耿暄一),333,2023GENG02,5.47
1,Xuanyi Geng (耿暄一),333,2023GENG02,5.25
1,Xuanyi Geng (耿暄一),333,2023GENG02,5.29
2,Xuanyi Geng (耿暄一),333,2023GENG02,5.4
2,Xuanyi Geng (耿暄一),333,2023GENG02,4.81
5,Xuanyi Geng (耿暄一),333,2023GENG02,6.02
2,Xuanyi Geng (耿暄一),333,2023GENG02,5.26
